name,aka,status,risk_tier,auto_approve_limit,currency,first_seen,name_changed_at
Widgets Inc.,,active,low,10000,USD,2023-04-11,
Gadgets Co.,,active,medium,7500,USD,2024-02-19,
Precision Parts Ltd.,,active,low,10000,USD,2022-09-05,
Global Supply Chain Partners,,active,medium,10000,USD,2024-06-30,
Acme Industrial Supplies,,active,low,10000,USD,2021-11-02,
MegaWidgets Corp,,active,medium,7500,USD,2024-08-14,
Consolidated Materials Group,,active,medium,7500,USD,2023-07-21,
Summit Manufacturing Co.,,active,low,10000,USD,2022-03-17,
QuickShip Distributors,FastShip Ltd.,watchlist,medium,5000,USD,2021-05-09,2025-11-14
Atlas Industrial Supply,,active,medium,10000,USD,2023-01-26,
TechParts International,,active,medium,7500,EUR,2024-04-08,
Reliable Components Inc.,,active,low,10000,USD,2022-12-01,
